year,period,state,region,nss_round,category,sub_category,source_of_water,type_of_filtering,value,unit,note
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Piped water into Dwelling,,662,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Piped to Yard/Dwelling,,574,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Number of Households treating Drinking Water,,Piped to Yard/Dwelling,,608,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Number of Households treating Drinking Water,,Piped water into Dwelling,,711,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Number of Households treating Drinking Water,,Bottled Water,,132,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Unprotected Well,,588,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Bottled Water,,61,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Piped water into Dwelling,,538,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Piped to Yard/Dwelling,,542,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Public Tap/Stand,,347,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Tube Well/Borehole,,180,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Protected Well,,600,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Protected Spring,,313,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,All (including not reported),,323,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Unprotected Spring,,283,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Rainwater Collection,,971,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Tank/ Pond,,692,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Other Surface Water,,637,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,Others,,606,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Number of Households treating Drinking Water,,N.R. (Not Reported),,191,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Public Tap/Stand,,359,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Protected Well,,627,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Electronic Purification,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Unprotected Well,,608,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Electronic Purification,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Electronic Purification,1,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Electronic Purification,29,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Electronic Purification,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Electronic Purification,30,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Electronic Purification,1675300,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Electronic Purification,387,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Electronic Purification,216,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Electronic Purification,351,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Electronic Purification,152,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Electronic Purification,17,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Electronic Purification,321,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Electronic Purification,111,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Electronic Purification,59,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Electronic Purification,232,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Electronic Purification,3,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Electronic Purification,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Electronic Purification,50,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,N.R. (Not Reported),,215,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Protected Spring,,319,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Unprotected Spring,,287,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Rainwater Collection,,973,value in absolute number per thousand,
