year,period,state,region,nss_round,category,sub_category,source_of_water,type_of_filtering,value,unit,note
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Chemical treatment with Bleach/Chlorine Tablet,47,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Chemical treatment with Bleach/Chlorine Tablet,8,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Chemical treatment with Alum,10,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Chemical treatment with Alum,14,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Chemical treatment with Alum,8,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Chemical treatment with Alum,5,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Chemical treatment with Alum,12,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Chemical treatment with Alum,4,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Chemical treatment with Alum,510,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Chemical treatment with Alum,112,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Chemical treatment with Alum,68,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Chemical treatment with Alum,30,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Chemical treatment with Alum,10,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Chemical treatment with Bleach/Chlorine Tablet,17,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Chemical treatment with Alum,293,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Chemical treatment with Alum,8,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Chemical treatment with Alum,222,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Chemical treatment with Alum,16,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Chemical treatment with Alum,12,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Chemical treatment with Alum,4,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Chemical treatment with Alum,7,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Chemical treatment with Alum,35,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Chemical treatment with Alum,7,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Chemical treatment with Alum,659100,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Chemical treatment with Alum,251,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Chemical treatment with Alum,16,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Chemical treatment with Alum,52,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Chemical treatment with Alum,17,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Chemical treatment with Alum,12,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Chemical treatment with Alum,435300,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Chemical treatment with Alum,13,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Chemical treatment with Bleach/Chlorine Tablet,34,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Chemical treatment with Bleach/Chlorine Tablet,77,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Chemical treatment with Alum,5,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Chemical treatment with Bleach/Chlorine Tablet,13,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Chemical treatment with Bleach/Chlorine Tablet,2,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Chemical treatment with Bleach/Chlorine Tablet,24,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Chemical treatment with Bleach/Chlorine Tablet,11,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Chemical treatment with Bleach/Chlorine Tablet,28,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Chemical treatment with Bleach/Chlorine Tablet,1554500,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Chemical treatment with Bleach/Chlorine Tablet,409,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Chemical treatment with Bleach/Chlorine Tablet,13,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Chemical treatment with Bleach/Chlorine Tablet,11,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Chemical treatment with Bleach/Chlorine Tablet,16,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Chemical treatment with Bleach/Chlorine Tablet,49,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Chemical treatment with Bleach/Chlorine Tablet,36,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Chemical treatment with Alum,52,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Chemical treatment with Alum,7,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Chemical treatment with Alum,30,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Chemical treatment with Alum,7,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Chemical treatment with Bleach/Chlorine Tablet,20,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Chemical treatment with Alum,278,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Chemical treatment with Alum,24,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Chemical treatment with Alum,23,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Chemical treatment with Alum,11,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Chemical treatment with Alum,1094400,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Chemical treatment with Alum,515,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Chemical treatment with Bleach/Chlorine Tablet,40,value in absolute number per thousand,
1998,"Janury, 1998 to June, 1998",All India,Rural,54,Distribution of Households by Method of Treatment of Drinking Water,,,Filtering by other process,29,value in absolute number per thousand,
1998,"Janury, 1998 to June, 1998",All India,Urban,54,Distribution of Households by Method of Treatment of Drinking Water,,,Boiling,110,value in absolute number per thousand,
1998,"Janury, 1998 to June, 1998",All India,Urban,54,Distribution of Households by Method of Treatment of Drinking Water,,,Chemical filtering,33,value in absolute number per thousand,
1998,"Janury, 1998 to June, 1998",All India,Urban,54,Distribution of Households by Method of Treatment of Drinking Water,,,Filtering by other process,129,value in absolute number per thousand,
1998,"Janury, 1998 to June, 1998",All India,Urban,54,Distribution of Households by Method of Treatment of Drinking Water,,,Filtering with plain cloth,227,value in absolute number per thousand,
1998,"Janury, 1998 to June, 1998",All India,Rural,54,Distribution of Households by Method of Treatment of Drinking Water,,,Boiling,43,value in absolute number per thousand,
1998,"Janury, 1998 to June, 1998",All India,Rural,54,Distribution of Households by Method of Treatment of Drinking Water,,,Chemical filtering,12,value in absolute number per thousand,
1998,"Janury, 1998 to June, 1998",All India,Rural,54,Distribution of Households by Method of Treatment of Drinking Water,,,Filtering with plain cloth,152,value in absolute number per thousand,
